,values_0a,values_0b,values_0c,values_0d,values_1a,values_1b,values_1c,values_1d
29,19.00780126346064,4.083633398922387,14.978306233036726,17.870940269953053,21.743760979721184,4.083633398922387,15.935358762107958,19.356899904036176
30,18.89210587100245,3.8341759468659102,14.60619281761082,17.271820816370305,22.03218098015516,3.8341759468659102,17.438523757666633,19.359705268806824
31,17.655594868662064,3.751665151213218,16.990918575664878,15.89566695316584,22.58842138943497,3.751665151213218,15.106986142334286,21.899641206523043
32,16.92546859567482,3.625667859981149,16.052592581795626,17.123273087422557,21.19046806401617,3.625667859981149,16.65897765221656,19.816715560365587
33,20.13306371401654,3.937668205044718,15.203983705228495,16.377749386140948,23.2253666998954,3.937668205044718,16.02022437817957,20.67382697747562
34,17.272799605375905,3.77580049063118,16.533042354941923,17.41897974304256,23.711659606787567,3.77580049063118,14.88451936267739,20.829466954314736
35,19.091974917985223,3.8177944074963386,14.827907567042644,16.26506444251497,21.30979333769478,3.8177944074963386,17.524079067288138,20.13970280670025
36,17.257782342026204,3.842608951509844,14.287560076629788,16.45452355242994,22.15821233285403,3.842608951509844,17.309563158459696,20.952981451645776
37,20.34952791702739,3.78870603971792,16.94593020491719,18.15848344493026,22.693645238446347,3.78870603971792,14.17229207795752,19.50833924120382
38,17.20719890388341,3.993769286444375,14.41437252751228,16.569187798309468,21.117606632798488,3.993769286444375,16.033366099090884,18.251216470214096
39,19.22063284044493,3.8005502592014215,16.652521349989208,17.016190208094418,23.287660267457017,3.8005502592014215,15.82352198205678,22.273369885850183
40,18.66342894133476,3.726563315346834,14.941207397569908,18.113348935106504,23.847696142785114,3.726563315346834,15.986750368746648,20.59225515262932
41,18.71954972062132,4.046462138477686,16.897600753136665,16.28908037125797,21.014888264843204,4.046462138477686,15.62978345888336,20.47165950589129
42,17.867478754932915,3.808749262989084,17.578588833839767,16.008363128656676,21.76519497821257,3.808749262989084,16.93078810815601,17.62624910568158
43,18.465375266456657,3.657008100275524,14.682035498026009,17.86475079804504,23.493586818570403,3.657008100275524,14.424501672781512,22.669873542455825
44,17.255214256671447,3.628186228830873,15.505735409199117,15.917590957669368,22.956807548289675,3.628186228830873,15.365754634069134,18.177164748642884
45,19.10715481158044,3.887221052823047,16.629669555946215,18.221890197049497,21.18411884528792,3.887221052823047,16.304651939232006,23.58552315066341
46,18.43385951182508,3.824029340470557,14.590551291255416,17.774599342664832,22.6281847905692,3.824029340470557,17.10489345412836,22.04542924067219
47,17.654462166226743,3.924368671019227,16.673302898398738,16.445300831019967,21.2983470299834,3.924368671019227,14.806800491045353,18.575543852807293
48,19.81858981269035,4.137869392170827,16.084552298583965,16.203946167181158,23.40653259471371,4.137869392170827,17.04430092951705,22.13534121305177
