,ev_op_Hp25_spsa
722,3.9200314460837293
723,4.120303435522374
724,3.9773167838043473
725,4.184850908525119
726,4.174081932349595
727,4.0809752607803045
728,3.8522584866770604
729,4.153688922678774
730,4.028964692626052
731,3.967959915887428
732,3.8896022557126164
733,4.4119066510747835
734,4.140485234628068
735,4.273296268378007
736,3.9388984059319596
737,4.271903606678077
738,4.014345141136415
739,4.4205628385491735
740,4.168971460354233
741,4.0004330710725835
742,4.088210475959204
743,4.247917158127989
744,3.8305520351014146
745,4.371765238289077
746,3.925477152728869
747,4.570345531651974
748,4.010130059512847
749,4.228130500777991
750,4.062601342179381
751,4.344439343182123
752,3.8692819289318647
753,4.413726106964482
754,4.049292368116964
755,4.2974523640993025
756,3.856824429297749
757,4.110966884680528
758,3.9208065814213757
759,4.438692435589037
760,4.023860784945061
761,4.091176519322089
762,3.914994873061776
763,4.1437053461629185
764,3.8048248979331047
765,4.10563023164593
766,4.018973040246909
767,4.24855827228808
768,3.9211715849429942
769,4.227846691020379
770,3.9333520074894253
771,4.288887485233021
772,3.8169154598285546
773,3.8544815982136926
774,4.136408005051261
775,4.390883942772077
776,3.8961368918210697
777,4.210831219488993
778,3.951804048112435
779,4.118747902192467
780,4.113541493701184
781,3.9997731823054976
782,3.934789226546906
783,4.088151684259396
784,3.8692351280507187
785,4.137037081644288
786,4.205965047857325
787,4.12646040632859
788,3.9966743880935494
789,4.094368182953569
790,3.9255585324279902
791,4.219841504368167
792,3.92623204894508
793,4.0349396965448285
794,3.8469888230663045
795,4.285593621893739
796,3.986639762833877
797,4.408463849807755
798,4.017365130777809
799,4.042245995271182
800,4.081820616871633
801,4.3417364656818265
802,4.15975605036481
803,4.320722945724675
804,3.9502975268904468
805,4.3447406483875755
806,3.9646293554604264
807,4.290764602830251
808,4.0410237092447945
809,4.03024087098585
810,4.115920815959308
811,4.325246485256962
812,3.9827083451023095
813,4.090667728588844
814,3.9687805527621247
815,4.288540171188945
816,3.7074675805785398
817,4.137954007903191
818,3.4980407736417054
819,4.3766072353765555
820,4.1467339864218795
821,4.111510955375944
822,3.9302816326789274
823,4.133299299507537
824,3.9701030581025365
