,ev_op_Hp15_2f_s170,ev_op_Hp15_2f_s225,ev_op_Hp15_2f_s128,ev_op_Hp15_2f_s88,ev_op_Hp15_2f_s28,ev_op_Hp15_2f_s11,ev_op_Hp15_2f_s34
119,9.207950126625795,8.103415592724945,6.189272706639659,11.216148598331369,7.21279780355229,9.96411299006846,9.599559920571767
120,11.54047222694514,7.559231509896656,7.3543181098728505,12.729095489984939,6.769877357631322,12.370467679450453,9.80623238747709
121,9.625523760072582,9.715775351155576,8.913713707558975,11.370245668459997,8.658017096777996,7.591411755006866,8.010890625252541
122,9.342645831150975,7.586937735665169,9.169053366547754,11.881523057053819,7.262790842438137,8.927394922004739,7.812939370062131
123,11.559623215469687,9.098122997268005,7.2510406441549975,11.498078026062366,7.374338255810184,8.069812297613979,9.882636646428601
124,11.785224009492827,9.055761554527399,9.042209196909049,12.833327386138784,9.227334698541066,9.285818563054274,10.515980991425756
125,8.675413735329002,7.379150177866346,7.068720351851685,11.779733862480922,7.573561218153887,8.195602869836833,7.690090623184379
126,8.891231677904944,7.753218416704947,8.330890882823214,12.488968697769478,6.445415131400997,8.415589859472217,8.526919017181195
127,12.050616303093554,9.181453045573907,7.598355029582525,11.194642354103218,7.284294226960648,10.14790826734562,7.924463662876951
128,9.570772371277563,7.271504409323272,8.406058872181129,11.940791499619806,6.37127635903263,7.9626199055796345,10.096791896583143
129,9.628590355819231,10.356339465326927,6.859674585333838,10.635988815614184,5.989021375602406,11.222443656627195,7.490919702116158
130,9.645191555904827,8.984510232922638,8.219263455881787,12.184348111454758,7.724594355122055,10.066766583403908,7.344005950798449
131,7.353270228037022,7.953227240897788,6.386038343425059,11.213746941828914,5.523278879614444,8.403605643472314,9.704555526010148
132,7.554858561154839,7.863187110955719,6.680079150171805,9.91651949966283,7.608321312976699,9.945049008954326,8.83740362134112
133,12.142119007125553,9.144293466234235,8.318576121721332,11.701467853221288,6.79923414421418,8.350903610544936,7.599081376250027
134,7.221674156813132,8.23501235318382,5.698951650018537,11.28445955388178,7.331839217009737,9.844006807961001,6.976621935153322
135,8.880115778896625,7.869756737530675,7.348950462435679,11.408999638144982,6.584055228959805,7.820674862332686,9.062752694938197
