,ev_op_Hp15,ev_op_Hp20,ev_op_Hp25,ev_op_Hp30,ev_op_Hp15_2f,ev_op_Hp20_2f,ev_op_Hp25_2f,ev_op_Hp30_2f
28,25.98648816422609,33.17999370198295,27.15719424019653,28.95446618442189,30.956606209080505,23.41145926160945,26.799091694646595,23.73513784399233
29,20.023749546728254,29.523862215783417,28.764157537082603,25.169035391806457,25.43766261667933,20.341251695372133,24.366207553917857,26.68954983451227
30,22.48367621903872,30.274489790052684,27.874305928002357,27.027720158161507,27.631503514577243,21.7754356859535,25.61187959839037,27.15548394287361
31,24.077808016000706,33.934489693612875,25.948071989432872,28.18912285769295,27.548441757034997,26.917076985502977,27.99589592767737,23.0428785723824
32,29.61057718049227,30.53707982103265,27.97435414516892,26.37452433768637,24.116048053711825,18.713123574331966,26.119669421756853,24.678058832236115
33,15.556414585341098,34.95974493129159,26.28619543189285,26.14959903205976,32.8436662158704,28.047172829266056,30.045955866450687,25.97924932011312
34,20.700181902393336,33.92397925003684,24.08803708452212,28.21189111940384,26.528806759520958,28.636096788779145,21.806942024128507,24.933181476670764
35,25.481451665695435,31.573601360792537,30.633805305495677,25.89638622294507,32.737837210971726,17.73229244590504,25.78533522726537,26.805387230743555
36,22.24910558503368,34.92864260210475,24.83315263751175,27.18933890445307,22.253158600816864,22.7186072355668,24.00289022456094,25.99422304961835
37,23.060866841550105,27.60300434057287,31.688930314195957,25.889159564278504,35.22107640439592,22.579784634890743,23.99301293138427,24.772003286505928
38,29.015219739361736,30.328567202415044,24.74633164742464,28.29686529081181,31.007987338781337,25.457571603575044,25.914488678016188,26.121230065339976
39,17.39904722582089,32.192873408711115,32.625325443401046,26.53865343613858,29.65561862545771,19.472233876567373,25.429349594308867,23.09707604763695
40,26.70461558872392,35.10245844503779,28.78710135077649,29.2695748290689,25.39107540681631,23.490771753763003,27.27963825549062,25.64633467901061
