,ev_op_r,ev_op_r3,ev_op_H,ev_op_H_2f,ev_op_H_3f,ev_op_Hp,ev_op_Hp2,ev_op_Hp3,ev_op_Hp4
29,3.1486328125000003,3.2128906250000004,3.3574218750000004,6.9873046875,4.702734375,7.151562500000001,3.3853515625000004,5.100390625,3.697265625
30,3.1486328125000003,3.2347656250000005,3.3574218750000004,5.836132812500001,4.1177734375,6.792578125,3.3884765625,4.0876953125,4.721484375
31,,3.1837890625000003,3.2685546875000004,6.6439453125000005,5.2099609375,7.154492187500001,3.3609375000000004,6.377734375,3.3449218750000003
32,,3.1859375000000005,3.2685546875000004,7.181640625,4.1177734375,7.15234375,3.496875,6.1541015625,3.78515625
33,,3.2152343750000005,3.2615234375,6.888867187500001,5.1865234375,7.0240234375,3.5199218750000005,6.347851562500001,3.628320312500001
34,,3.2011718750000004,3.3714843750000005,6.8246093750000005,4.1177734375,7.0023437500000005,3.280078125,5.813671875000001,3.4916015625000005
35,,3.1572265625000004,3.4255859375,5.856640625000001,4.0927734375,7.15,3.2037109375000004,4.541796875,3.3482421875000004
36,,3.1566406250000005,3.2615234375,6.4365234375,4.215625,7.1498046875000005,3.2529296875000004,5.4373046875,3.726171875
37,,3.1537109375000005,3.2160156250000003,5.955859375,4.7123046875000005,6.7763671875,3.2544921875000004,5.998828125,3.4001953125
38,,3.1572265625000004,3.2046875000000004,7.11015625,3.876367187500001,7.154492187500001,3.186328125,6.169140625000001,3.7345703125
39,,3.1564453125000003,3.2046875000000004,6.7857421875,5.240429687500001,6.792578125,3.1972656250000004,6.3187500000000005,3.689453125
40,,3.1626953125000004,3.237109375,6.767578125,3.8916015625,7.151562500000001,3.248828125,5.3017578125,3.2685546875000004
41,,3.1568359375000004,3.1982421875000004,6.7724609375,6.0673828125,6.9810546875,3.186328125,6.2416015625000005,3.4923828125000003
42,,3.1580078125,3.3330078125000004,7.0375000000000005,3.876367187500001,6.8173828125,3.2437500000000004,6.0779296875,3.698632812500001
43,,3.1566406250000005,3.1982421875000004,6.5980468750000005,4.5205078125,7.147656250000001,3.2443359375000003,4.9203125000000005,3.7392578125
44,,3.1515625000000003,3.1835937500000004,6.689453125,3.9392578125,7.1509765625,3.2031250000000004,4.8580078125,3.5939453125000003
45,,3.1515625000000003,3.2498046875,6.861328125,4.158203125,6.6859375000000005,3.2072265625000003,5.321484375000001,3.2515625000000004
46,,3.1574218750000003,3.1712890625000005,6.735546875000001,3.876367187500001,7.004101562500001,3.1865234375000004,5.6140625,3.4224609375000004
47,,3.1519531250000004,3.1712890625000005,6.9378906250000005,4.082226562500001,7.151562500000001,3.184375,4.1529296875,3.2464843750000005
48,,3.1515625000000003,3.2298828125000005,7.1156250000000005,3.7734375,7.1509765625,3.2005859375000005,4.8896484375,3.92578125
49,,3.1583984375000003,3.2087890625,5.5863281250000005,4.108203125,6.6859375000000005,3.1685546875000004,4.8482421875,3.5289062500000004
50,,3.1515625000000003,3.1976562500000005,6.0970703125000005,4.147265625,7.1498046875000005,3.1765625,6.545117187500001,3.2511718750000003
51,,3.1509765625000004,3.1830078125000005,6.8287109375,3.710351562500001,6.9638671875,3.1626953125000004,4.0376953125,3.2476562500000004
52,,3.1507812500000005,3.1712890625000005,4.5521484375000005,4.201171875,7.1380859375000005,3.1619140625,7.041210937500001,3.2560546875000003
53,,3.1509765625000004,3.1701171875000003,5.1556640625000005,4.9541015625,6.9166015625,3.1574218750000003,5.326367187500001,3.4660156250000003
54,,3.1509765625000004,3.1701171875000003,5.013867187500001,3.73125,6.9439453125,3.1541015625,5.819921875,3.2640625000000005
55,,3.1509765625000004,3.1625000000000005,6.156445312500001,4.203125,7.1234375000000005,3.1939453125000004,6.4130859375,3.1912109375
56,,3.1486328125000003,3.1796875000000004,6.41796875,3.712304687500001,7.0884765625,3.1542968750000004,4.5396484375,3.2121093750000003
57,,3.1515625000000003,3.1582031250000004,5.6552734375,3.5908203125000004,6.5482421875000005,3.1664062500000005,6.9537109375,3.2740234375000004
58,,3.1484375000000004,3.1701171875000003,5.477734375000001,3.6119140625,3.7232421875,3.1603515625000003,4.6474609375,3.2228515625000003
59,,3.1513671875000004,3.1513671875000004,6.056835937500001,4.755859375,5.1685546875,3.1529296875000004,6.570507812500001,3.2968750000000004
60,,3.1484375000000004,3.1521484375,5.678906250000001,3.837109375,7.1412109375,3.1521484375,6.16796875,3.1751953125000005
61,,3.1513671875000004,3.1513671875000004,6.1275390625,3.9560546875,6.8599609375,3.1529296875000004,6.701367187500001,3.4238281250000004
62,,3.1513671875000004,3.1593750000000003,5.8814453125,4.1351562500000005,6.9283203125,3.1576171875000005,5.4556640625,3.1998046875000004
63,,3.1513671875000004,3.1513671875000004,6.859570312500001,4.1728515625,5.964453125,3.1593750000000003,6.746289062500001,3.2492187500000003
64,,3.1486328125000003,3.1679687500000004,6.028515625000001,4.0712890625,3.3964843750000004,3.1537109375000005,4.247265625000001,3.2001953125000004
65,,3.1513671875000004,3.1509765625000004,4.57421875,3.7310546875,3.3980468750000004,3.1521484375,6.1353515625,3.190234375
66,,3.1513671875000004,3.1591796875000004,5.895703125000001,3.5908203125000004,3.533984375,3.1558593750000004,4.157421875000001,3.2554687500000004
67,,3.1513671875000004,3.1519531250000004,6.4330078125000005,3.864648437500001,3.2343750000000004,3.1529296875000004,5.1802734375,3.2648437500000003
68,,3.1484375000000004,3.1515625000000003,6.51953125,3.5908203125000004,4.1552734375,3.1593750000000003,4.0384765625000005,3.1931640625
69,,3.1513671875000004,3.1535156250000003,4.5703125,3.5671875,3.1585937500000005,3.1593750000000003,5.210156250000001,3.3441406250000005
70,,3.1484375000000004,3.1496093750000003,7.101171875,3.5671875,6.0169921875000005,3.1525390625000003,4.653125,3.1929687500000004
71,,3.1484375000000004,3.1554687500000003,6.974609375,3.9666015625,4.3357421875,3.1578125000000004,4.3974609375,3.4457031250000005
72,,3.1513671875000004,3.153125,7.007031250000001,3.4482421875000004,6.383007812500001,3.1537109375000005,4.294140625000001,3.2412109375000004
73,,3.1484375000000004,3.15703125,6.9810546875,3.2933593750000005,4.853125,3.1582031250000004,4.5291015625,3.1699218750000004
74,,3.1484375000000004,3.1537109375000005,6.48828125,3.3568359375000005,4.6501953125,3.1523437500000004,5.140234375,3.215625
75,,3.1484375000000004,3.1535156250000003,6.819531250000001,3.705468750000001,4.4880859375,3.1591796875000004,4.206250000000001,3.1705078125000004
76,,3.1513671875000004,3.1503906250000004,6.8765625,3.3029296875000003,5.3525390625,3.1523437500000004,5.403125,3.2087890625
77,,3.1484375000000004,3.1496093750000003,6.5408203125,3.677734375,3.7505859375,3.1595703125000005,4.177734375,3.1783203125000004
78,,3.1484375000000004,3.1500000000000004,6.553906250000001,3.2796875000000005,5.9173828125000005,3.1525390625000003,4.1130859375,3.1773437500000004
79,,3.1486328125000003,3.1496093750000003,6.564453125,3.3750000000000004,5.549609375,3.1591796875000004,5.730078125,3.1718750000000004
80,,3.1486328125000003,3.1537109375000005,6.4060546875,3.325,5.6302734375000005,3.1521484375,5.18046875,3.2140625000000003
81,,3.1484375000000004,3.14921875,5.4691406250000005,3.2855468750000005,5.8658203125,3.1593750000000003,4.5484375,3.1951171875
82,,3.1484375000000004,3.153125,5.4888671875,3.3998046875000005,5.7859375,3.1525390625000003,4.689648437500001,3.1716796875
83,,3.1484375000000004,3.14921875,4.7431640625,3.6337890625,5.636914062500001,3.1521484375,4.780468750000001,3.16875
84,,3.1484375000000004,3.14921875,4.6630859375,3.3126953125000003,6.248242187500001,3.1517578125000005,4.7515625,3.1814453125
85,,3.1484375000000004,3.1488281250000005,5.435742187500001,3.6125,4.767578125,3.1519531250000004,5.8306640625,3.1664062500000005
86,,3.1484375000000004,3.1525390625000003,5.4837890625000005,3.2753906250000004,3.977929687500001,3.1517578125000005,4.1273437500000005,3.1681640625000003
87,,3.1484375000000004,3.1494140625000004,4.659765625,3.3732421875000003,3.5503906250000004,3.1515625000000003,6.0826171875,3.1632812500000003
88,,3.1484375000000004,3.1525390625000003,5.3822265625000005,3.29765625,3.59453125,3.1554687500000003,4.3953125,3.1617187500000004
89,,3.1484375000000004,3.1494140625000004,5.790234375000001,3.4158203125,4.208984375,3.1521484375,4.538671875,3.1652343750000003
90,,3.1484375000000004,3.1488281250000005,5.341796875,3.3939453125000005,4.2625,3.1554687500000003,4.3111328125,3.1548828125000004
91,,3.1484375000000004,3.1490234375000004,5.619140625,3.44609375,3.5031250000000003,3.1523437500000004,4.642578125,3.1720703125000003
92,,3.1484375000000004,3.1523437500000004,6.1521484375,3.29765625,3.6994140625,3.1554687500000003,4.5669921875,3.1607421875000004
