,ev_op_r_COBYLA,ev_op_r3_COBYLA,ev_op_H_COBYLA,ev_op_H_2f_COBYLA,ev_op_H_3f_COBYLA,ev_op_Hp_COBYLA,ev_op_Hp2_COBYLA,ev_op_Hp3_COBYLA,ev_op_Hp4_COBYLA,ev_op_r_SPSA,ev_op_r3_SPSA,ev_op_H_SPSA,ev_op_H_2f_SPSA,ev_op_H_3f_SPSA,ev_op_Hp_SPSA,ev_op_Hp2_SPSA,ev_op_Hp3_SPSA,ev_op_Hp4_SPSA
28,4.498046875,4.4970703125,4.453125,5.357421875,8.30859375,4.484375,4.615234375,5.205078125,4.837890625,7.486328125,5.8798828125,8.5703125,8.484375,6.130859375,8.498046875,8.4921875,7.533203125,7.560546875
29,4.498046875,4.48828125,4.521484375,4.740234375,4.58203125,4.470703125,5.16796875,5.060546875,7.41796875,7.0859375,4.787109375,7.591796875,8.138671875,8.45703125,8.515625,7.53515625,6.25,6.9140625
30,4.498046875,4.5732421875,4.412109375,5.427734375,7.140625,4.49609375,4.578125,4.82421875,4.984375,7.0498046875,5.9296875,7.904296875,7.173828125,6.9921875,8.4765625,8.380859375,5.369140625,8.08984375
31,4.498046875,4.4990234375,4.498046875,4.482421875,4.58203125,4.4765625,4.603515625,5.822265625,6.30078125,7.50390625,6.0068359375,8.15234375,8.291015625,8.5390625,8.544921875,8.05859375,8.16015625,6.580078125
32,4.498046875,4.587890625,4.380859375,5.455078125,5.689453125,4.48046875,4.583984375,4.841796875,5.51953125,7.525390625,7.044921875,8.193359375,8.81640625,8.337890625,8.5234375,7.572265625,7.787109375,8.30859375
33,4.498046875,4.4853515625,4.369140625,4.705078125,4.58203125,4.458984375,4.474609375,4.9140625,5.904296875,7.0283203125,4.72265625,6.677734375,8.384765625,6.17578125,8.681640625,8.498046875,7.439453125,8.453125
34,4.498046875,4.587890625,4.478515625,5.419921875,6.5859375,4.470703125,4.490234375,4.796875,5.23828125,7.0869140625,5.427734375,8.025390625,8.4453125,8.923828125,8.5,8.158203125,7.265625,7.119140625
35,4.498046875,4.4853515625,4.3828125,4.65234375,4.70703125,4.466796875,4.623046875,5.255859375,4.892578125,7.490234375,5.0322265625,7.908203125,7.484375,8.427734375,8.5,8.685546875,6.25390625,8.392578125
36,,4.587890625,4.333984375,5.34765625,7.666015625,4.45703125,4.564453125,4.759765625,5.515625,7.0283203125,5.8232421875,8.322265625,7.939453125,8.634765625,8.498046875,8.4296875,6.736328125,8.44921875
37,,4.5244140625,4.373046875,4.603515625,5.55859375,4.453125,4.68359375,4.890625,4.6875,7.525390625,5.29296875,7.626953125,7.703125,6.9921875,8.279296875,6.947265625,7.74609375,8.775390625
38,,4.4873046875,4.326171875,4.77734375,4.984375,4.45703125,4.560546875,5.0234375,4.521484375,7.0283203125,4.90625,8.1640625,8.83984375,8.64453125,8.544921875,7.45703125,7.83203125,8.1328125
39,,4.494140625,4.36328125,4.927734375,5.642578125,4.447265625,4.4921875,4.740234375,4.818359375,7.525390625,5.71484375,7.4921875,8.478515625,7.822265625,8.4765625,8.736328125,7.39453125,7.435546875
40,,4.494140625,4.33203125,4.513671875,4.80859375,4.44140625,4.53125,4.99609375,5.216796875,7.525390625,4.814453125,7.978515625,8.47265625,8.498046875,8.515625,8.376953125,6.330078125,6.736328125
41,,4.48828125,4.357421875,4.626953125,4.802734375,4.44921875,4.494140625,4.740234375,4.74609375,7.0283203125,5.296875,7.947265625,7.888671875,8.669921875,8.498046875,8.505859375,7.783203125,6.50390625
42,,4.4853515625,4.359375,4.552734375,4.7265625,4.443359375,4.498046875,4.611328125,5.09765625,7.0869140625,5.201171875,6.572265625,8.81640625,7.96875,8.478515625,8.107421875,7.517578125,8.919921875
43,,4.4921875,4.322265625,4.626953125,5.609375,4.45703125,4.4609375,4.908203125,4.73046875,7.490234375,4.9189453125,7.978515625,8.1484375,8.595703125,8.4765625,7.7421875,6.48828125,6.513671875
44,,4.4853515625,4.33203125,4.482421875,4.529296875,4.44921875,4.431640625,4.611328125,5.232421875,7.486328125,4.8505859375,8.33203125,8.078125,8.265625,8.509765625,8.255859375,6.498046875,8.16796875
45,,4.494140625,4.41015625,4.470703125,4.87890625,4.453125,4.4609375,4.765625,4.6328125,7.0859375,5.6611328125,7.61328125,8.0390625,7.43359375,8.21875,7.578125,6.703125,6.603515625
46,,4.4853515625,4.333984375,4.427734375,4.640625,4.451171875,4.4453125,4.7578125,5.046875,7.486328125,5.296875,7.947265625,7.73046875,8.515625,8.517578125,8.3125,7.1328125,8.810546875
47,,4.4853515625,4.37109375,4.421875,5.181640625,4.447265625,4.462890625,4.54296875,4.921875,7.0859375,4.814453125,7.978515625,8.62890625,8.07421875,8.515625,8.599609375,5.916015625,7.333984375
48,,4.4873046875,4.322265625,4.3671875,4.552734375,4.447265625,4.486328125,4.6171875,5.046875,7.0498046875,4.515625,6.61328125,8.7890625,8.412109375,8.509765625,8.259765625,6.673828125,6.7421875
49,,4.494140625,4.34375,4.404296875,5.599609375,4.443359375,4.43359375,4.705078125,4.73828125,7.50390625,5.7822265625,7.947265625,7.03125,8.75,8.21875,8.55078125,6.576171875,7.515625
50,,4.4921875,4.3203125,4.373046875,4.58203125,4.443359375,4.43359375,4.73828125,4.529296875,7.498046875,4.7060546875,6.75,7.673828125,8.79296875,8.498046875,8.419921875,7.935546875,8.064453125
51,,4.4853515625,4.3203125,4.4453125,4.638671875,4.443359375,4.42578125,4.53515625,4.888671875,7.03515625,6.98046875,8.19921875,8.099609375,8.490234375,8.466796875,8.373046875,5.677734375,7.287109375
