,seed_10,seed_20,seed_30,seed_40,seed_50,seed_155,seed_125
178,3.765625,2.83984375,3.048828125,0.40185546875,2.34326171875,3.35546875,1.18994140625
179,4.15234375,2.408203125,2.96923828125,2.19189453125,4.13916015625,3.791015625,0.7509765625
180,3.86181640625,3.453125,3.259765625,1.28466796875,3.1083984375,3.41162109375,1.36669921875
181,4.224609375,2.7880859375,3.17724609375,1.2802734375,3.74365234375,3.736328125,0.64990234375
182,3.42431640625,2.9716796875,2.7666015625,0.49658203125,2.91357421875,3.23095703125,2.037109375
183,4.13330078125,3.185546875,3.03466796875,0.9619140625,4.0068359375,3.435546875,0.4150390625
184,3.43212890625,2.85498046875,2.81884765625,1.45556640625,2.85205078125,3.482421875,1.7255859375
185,3.65869140625,3.3603515625,2.72705078125,1.07666015625,3.55859375,3.8037109375,1.5556640625
186,3.9775390625,2.732421875,3.29150390625,1.5009765625,4.091796875,3.361328125,1.0546875
187,3.18798828125,2.953125,3.20263671875,1.70947265625,2.03271484375,3.7412109375,1.08642578125
188,3.48876953125,2.78369140625,3.0390625,1.263671875,3.71728515625,3.87744140625,1.19580078125
189,3.2705078125,2.8603515625,2.75048828125,1.654296875,2.154296875,3.82275390625,0.984375
190,2.70654296875,2.962890625,2.8759765625,0.94140625,2.38134765625,3.4697265625,1.72802734375
191,4.197265625,2.75634765625,2.84716796875,1.08984375,3.11181640625,3.42529296875,1.3681640625
192,2.87109375,2.5771484375,3.126953125,1.2353515625,3.25244140625,3.53466796875,1.58544921875
193,3.93115234375,2.498046875,2.58837890625,1.2958984375,2.62158203125,3.52685546875,0.9208984375
194,3.072265625,2.740234375,2.99267578125,0.775390625,2.8525390625,3.3193359375,1.779296875
195,3.60595703125,2.4130859375,2.72021484375,1.048828125,2.830078125,3.5029296875,0.9052734375
196,3.8486328125,3.568359375,2.74072265625,1.35791015625,2.583984375,3.4970703125,1.80517578125
197,3.09033203125,2.8515625,2.9814453125,1.10009765625,2.4111328125,3.548828125,1.9775390625
198,3.1083984375,3.06103515625,2.904296875,1.1357421875,3.5341796875,3.4423828125,1.80810546875
199,3.55126953125,2.8056640625,3.021484375,1.029296875,1.61474609375,3.61376953125,1.701171875
200,3.388671875,2.8447265625,2.67822265625,1.56494140625,2.84326171875,3.60888671875,1.47607421875
201,3.33447265625,2.92529296875,2.9189453125,1.74609375,1.72265625,3.7529296875,0.67578125
202,3.646484375,3.27099609375,3.04345703125,1.76416015625,2.34765625,3.7431640625,1.7353515625
203,3.16259765625,2.4345703125,2.759765625,1.0166015625,2.271484375,3.92919921875,1.04248046875
204,3.80419921875,2.55029296875,2.96875,0.9638671875,2.01171875,3.50830078125,1.98876953125
205,3.458984375,2.5029296875,3.0400390625,1.2197265625,2.41015625,3.6083984375,1.27490234375
206,3.67236328125,3.54931640625,2.80908203125,1.41650390625,3.41015625,3.8291015625,1.5234375
207,3.556640625,2.7900390625,3.43408203125,0.74462890625,1.1708984375,3.63037109375,2.0419921875
208,3.62646484375,3.4892578125,2.595703125,1.1416015625,3.1962890625,3.59423828125,1.34130859375
209,3.64990234375,2.7841796875,3.001953125,1.21484375,2.77001953125,3.79736328125,2.0439453125
210,3.63134765625,2.65380859375,2.68798828125,0.9912109375,2.7001953125,3.80029296875,1.98876953125
211,3.36572265625,2.681640625,3.3193359375,0.62744140625,2.81298828125,3.83447265625,1.83251953125
212,3.10595703125,3.20556640625,2.55419921875,1.0849609375,3.16796875,3.57275390625,1.25146484375
213,3.953125,2.380859375,2.9326171875,1.29541015625,2.33203125,3.6572265625,1.30029296875
214,3.5771484375,3.12451171875,2.96630859375,1.61865234375,1.65966796875,3.83056640625,1.265625
215,3.03173828125,3.0439453125,2.8466796875,1.62158203125,3.63623046875,3.70068359375,2.41552734375
216,3.20458984375,2.53076171875,2.6474609375,1.1748046875,3.14599609375,3.3525390625,1.78271484375
217,3.587890625,3.07080078125,2.87890625,1.4345703125,2.07421875,3.49267578125,1.208984375
218,4.34912109375,3.23681640625,2.767578125,0.75341796875,3.22216796875,3.6494140625,0.42431640625
219,3.1494140625,3.0,2.8232421875,1.1435546875,1.8935546875,3.50390625,2.45654296875
220,4.0107421875,3.38916015625,2.8046875,0.822265625,2.93408203125,3.56201171875,1.93408203125
221,3.8212890625,2.75146484375,2.818359375,0.8134765625,1.32470703125,3.77880859375,1.12060546875
222,4.10595703125,3.14794921875,2.732421875,0.859375,2.14306640625,3.86669921875,2.0517578125
223,4.18408203125,2.54150390625,2.67138671875,1.31640625,1.85107421875,3.7236328125,1.33837890625
224,3.40234375,3.3662109375,3.1875,1.10009765625,2.5810546875,3.76220703125,1.67431640625
225,4.37548828125,2.6484375,2.7177734375,1.0068359375,1.6689453125,3.44091796875,0.90576171875
226,3.93798828125,3.341796875,3.18798828125,1.51171875,1.857421875,3.8828125,1.33203125
227,3.6416015625,2.54541015625,2.9189453125,1.94580078125,2.00244140625,3.80078125,0.94677734375
228,3.95751953125,2.8056640625,2.8857421875,1.39111328125,2.529296875,3.57861328125,1.12109375
229,4.16748046875,2.99853515625,2.90625,1.54052734375,1.40673828125,3.5888671875,1.52587890625
230,3.759765625,3.05908203125,2.6337890625,1.125,1.5048828125,3.56103515625,0.8896484375
231,4.11767578125,2.34033203125,2.8466796875,0.83056640625,2.42626953125,3.76806640625,0.91357421875
232,2.92919921875,3.20068359375,2.77734375,0.833984375,2.83154296875,3.41748046875,2.00146484375
233,4.8212890625,2.90380859375,3.09130859375,1.09228515625,1.07666015625,3.4384765625,1.63623046875
234,2.951171875,3.15283203125,3.19921875,0.91357421875,2.8681640625,3.79443359375,1.42724609375
235,4.70166015625,2.74853515625,2.5673828125,1.09912109375,0.93505859375,3.720703125,1.11767578125
236,5.0556640625,3.24365234375,2.8408203125,1.11962890625,2.46435546875,3.61474609375,1.76611328125
237,3.08642578125,2.80615234375,2.64599609375,1.51416015625,1.4189453125,3.6220703125,1.25732421875
238,4.17431640625,3.08154296875,2.7353515625,1.236328125,1.55615234375,3.7099609375,1.85595703125
239,5.03759765625,2.30615234375,2.9814453125,1.1103515625,1.94140625,3.76123046875,0.583984375
240,3.31103515625,3.24169921875,2.69140625,0.9560546875,1.830078125,3.734375,2.15966796875
241,4.85400390625,2.9853515625,2.88427734375,0.79443359375,1.361328125,3.90576171875,0.86328125
242,4.04638671875,3.1064453125,2.42041015625,1.56103515625,1.935546875,3.8017578125,0.7744140625
243,4.3203125,2.96923828125,2.76025390625,1.30810546875,1.97216796875,3.81787109375,1.06884765625
244,4.388671875,2.91943359375,2.92626953125,0.673828125,1.90234375,3.5791015625,1.0205078125
245,3.38623046875,3.3369140625,2.828125,0.8896484375,1.73828125,3.6181640625,1.65478515625
246,4.3330078125,2.39111328125,2.7109375,1.67626953125,2.42138671875,3.74658203125,1.146484375
247,3.49365234375,2.623046875,2.798828125,1.41357421875,0.78125,3.8828125,1.83935546875
248,3.9375,2.84375,2.33349609375,1.423828125,0.98193359375,3.63916015625,1.00927734375
