,ansatz_2a,ansatz_2b,ansatz_3c,ansatz_3b,ansatz_4a,ansatz_4b
26,5.349609375,5.9990234375,5.0625,5.671875,5.318359375,6.34765625
27,4.9814453125,5.8583984375,5.087890625,5.55859375,5.6005859375,6.5517578125
28,4.8642578125,5.8876953125,4.9111328125,5.630859375,5.02734375,6.09375
29,4.884765625,5.9072265625,5.041015625,5.498046875,5.044921875,6.0234375
30,5.0185546875,5.9091796875,4.955078125,5.2822265625,5.1708984375,6.0615234375
31,4.8505859375,5.404296875,4.732421875,5.3056640625,5.109375,5.9892578125
32,4.9052734375,5.34765625,4.80859375,5.4208984375,5.0703125,6.1484375
33,4.9716796875,5.244140625,4.791015625,5.572265625,5.3330078125,5.8837890625
34,4.9443359375,5.3291015625,4.8505859375,5.3154296875,5.1689453125,5.8798828125
35,4.875,5.1650390625,4.724609375,5.2900390625,5.01171875,5.826171875
36,5.1416015625,5.169921875,4.6513671875,5.4072265625,5.0458984375,5.802734375
37,4.7666015625,5.2119140625,4.7529296875,5.5126953125,5.0498046875,5.765625
38,4.8447265625,5.0810546875,4.6865234375,5.1103515625,5.11328125,5.962890625
39,4.7763671875,5.17578125,4.7470703125,5.025390625,4.94140625,5.908203125
40,4.78515625,5.423828125,4.6982421875,5.0439453125,4.98046875,5.7431640625
41,4.78125,5.0732421875,4.95703125,5.1328125,5.0244140625,5.5234375
42,4.8671875,5.056640625,4.6591796875,5.0205078125,4.951171875,6.0458984375
43,4.732421875,5.0341796875,4.673828125,5.2841796875,5.01953125,5.64453125
44,4.7724609375,5.1669921875,4.693359375,5.1220703125,4.8232421875,5.453125
45,4.828125,4.9912109375,4.662109375,5.2314453125,4.7998046875,5.4326171875
46,4.8134765625,5.2373046875,4.796875,5.021484375,4.8974609375,5.4345703125
47,4.771484375,5.1416015625,4.6728515625,5.2978515625,4.921875,5.423828125
48,4.7138671875,5.0732421875,4.6181640625,5.0283203125,4.8662109375,5.478515625
49,4.662109375,4.9736328125,4.6376953125,5.0732421875,4.8984375,5.4599609375
50,4.677734375,5.2939453125,4.59765625,5.00390625,4.8486328125,5.6923828125
51,4.650390625,4.919921875,4.615234375,5.1240234375,4.7587890625,5.2353515625
52,4.6962890625,4.9296875,4.615234375,5.0419921875,4.7861328125,5.1259765625
53,4.638671875,4.923828125,4.599609375,4.826171875,4.744140625,5.2275390625
54,4.6484375,5.1845703125,4.6298828125,4.931640625,4.818359375,5.63671875
55,4.5751953125,4.9462890625,4.6318359375,4.9599609375,4.7275390625,5.095703125
56,4.603515625,5.0263671875,4.5986328125,4.8701171875,4.7578125,5.228515625
57,4.7939453125,4.89453125,4.6083984375,4.8427734375,4.751953125,5.1337890625
58,4.63671875,5.103515625,4.630859375,4.81640625,4.7138671875,5.06640625
59,4.66015625,4.8984375,4.5458984375,5.1279296875,4.755859375,5.060546875
60,4.7041015625,4.986328125,4.6259765625,4.9833984375,4.744140625,5.0439453125
61,4.6201171875,4.8876953125,4.5732421875,4.830078125,4.7109375,5.0888671875
62,4.6669921875,5.2158203125,4.5849609375,4.85546875,4.630859375,5.3212890625
63,4.62890625,5.02734375,4.56640625,4.7841796875,4.607421875,5.037109375
64,4.5712890625,4.9521484375,4.5966796875,4.9697265625,4.57421875,5.6708984375
65,4.5703125,4.8193359375,4.564453125,4.810546875,4.6455078125,5.0673828125
66,4.5888671875,4.8388671875,4.53515625,4.7744140625,4.5546875,5.1787109375
67,4.5205078125,4.9052734375,4.5908203125,4.826171875,4.693359375,5.166015625
68,4.580078125,5.123046875,4.5673828125,4.751953125,4.6484375,5.3662109375
69,4.5517578125,4.873046875,4.59375,4.78515625,4.66015625,5.291015625
70,4.52734375,4.982421875,4.5517578125,4.814453125,4.5556640625,5.0322265625
71,4.578125,4.86328125,4.556640625,4.9365234375,4.65234375,5.03125
72,4.556640625,5.1416015625,4.578125,4.77734375,4.63671875,5.0859375
73,4.6044921875,4.814453125,4.5517578125,4.7314453125,4.708984375,5.029296875
