,ansatz_0a,ansatz_0b,ansatz_0c,ansatz_0d,ansatz_1a,ansatz_1b,ansatz_1c,ansatz_1d
79,6.0009765625,4.50390625,5.373046875,6.0009765625,5.533203125,4.50390625,6.5244140625,5.533203125
80,6.2001953125,4.498046875,5.17578125,6.2001953125,5.4267578125,4.498046875,6.4248046875,5.4267578125
81,5.7978515625,4.50390625,5.28515625,5.7978515625,5.3076171875,4.50390625,6.5390625,5.3076171875
82,5.783203125,4.498046875,5.27734375,5.783203125,5.3935546875,4.498046875,6.525390625,5.3935546875
83,6.0302734375,4.50390625,5.3291015625,6.0302734375,5.3916015625,4.50390625,6.341796875,5.3916015625
84,5.77734375,4.498046875,5.28125,5.77734375,5.328125,4.498046875,6.5546875,5.328125
85,5.84765625,4.50390625,5.279296875,5.84765625,5.4228515625,4.50390625,6.3212890625,5.4228515625
86,5.763671875,4.498046875,5.25390625,5.763671875,5.4951171875,4.498046875,6.5576171875,5.4951171875
87,5.8544921875,4.50390625,5.30078125,5.8544921875,5.2451171875,4.50390625,6.1943359375,5.2451171875
88,5.697265625,4.498046875,5.279296875,5.697265625,5.2822265625,4.498046875,6.462890625,5.2822265625
89,5.953125,4.50390625,5.2763671875,5.953125,5.4150390625,4.50390625,6.099609375,5.4150390625
90,5.693359375,4.498046875,5.3720703125,5.693359375,5.474609375,4.498046875,6.376953125,5.474609375
91,5.7646484375,4.50390625,5.1142578125,5.7646484375,5.1572265625,4.50390625,5.9267578125,5.1572265625
92,5.810546875,4.498046875,5.0380859375,5.810546875,5.296875,4.498046875,5.8701171875,5.296875
93,5.6826171875,4.50390625,5.390625,5.6826171875,5.189453125,4.50390625,6.03125,5.189453125
94,5.8720703125,4.498046875,4.890625,5.8720703125,5.267578125,4.498046875,5.951171875,5.267578125
95,5.7158203125,4.50390625,5.2021484375,5.7158203125,5.2265625,4.50390625,5.9609375,5.2265625
96,5.8544921875,4.498046875,4.9228515625,5.8544921875,5.1767578125,4.498046875,5.87890625,5.1767578125
97,5.646484375,4.50390625,4.978515625,5.646484375,5.14453125,4.50390625,6.1083984375,5.14453125
98,5.94921875,4.498046875,4.9697265625,5.94921875,5.310546875,4.498046875,5.9755859375,5.310546875
99,5.6025390625,4.50390625,4.8740234375,5.6025390625,5.1474609375,4.50390625,5.7861328125,5.1474609375
100,5.6572265625,4.498046875,4.828125,5.6572265625,5.109375,4.498046875,5.9130859375,5.109375
101,5.7021484375,4.50390625,5.111328125,5.7021484375,5.232421875,4.50390625,5.814453125,5.232421875
102,5.7705078125,4.498046875,4.91796875,5.7705078125,5.373046875,4.498046875,5.7861328125,5.373046875
103,5.5048828125,4.50390625,4.8310546875,5.5048828125,5.109375,4.50390625,6.013671875,5.109375
104,5.6337890625,4.498046875,4.955078125,5.6337890625,4.9990234375,4.498046875,5.8095703125,4.9990234375
105,5.6396484375,4.50390625,4.7744140625,5.6396484375,5.28515625,4.50390625,5.8271484375,5.28515625
106,5.779296875,4.498046875,4.841796875,5.779296875,5.330078125,4.498046875,6.0654296875,5.330078125
107,5.4716796875,4.50390625,4.7802734375,5.4716796875,4.927734375,4.50390625,5.5791015625,4.927734375
108,5.4287109375,4.498046875,4.7373046875,5.4287109375,4.9638671875,4.498046875,5.7392578125,4.9638671875
109,5.7587890625,4.50390625,4.87890625,5.7587890625,4.9404296875,4.50390625,5.4853515625,4.9404296875
110,5.6162109375,4.498046875,4.8994140625,5.6162109375,5.0751953125,4.498046875,5.5322265625,5.0751953125
111,5.2744140625,4.50390625,4.728515625,5.2744140625,4.8125,4.50390625,5.55859375,4.8125
112,5.5263671875,4.498046875,4.837890625,5.5263671875,4.80859375,4.498046875,5.537109375,4.80859375
113,5.306640625,4.50390625,4.78515625,5.306640625,5.0478515625,4.50390625,5.478515625,5.0478515625
114,5.3916015625,4.498046875,4.841796875,5.3916015625,4.9443359375,4.498046875,5.5400390625,4.9443359375
115,5.47265625,4.50390625,4.7919921875,5.47265625,4.9228515625,4.50390625,5.40234375,4.9228515625
116,5.3720703125,4.498046875,4.89453125,5.3720703125,4.82421875,4.498046875,5.3779296875,4.82421875
117,5.41796875,4.50390625,4.6904296875,5.41796875,5.0302734375,4.50390625,5.71484375,5.0302734375
118,5.3525390625,4.498046875,4.9111328125,5.3525390625,5.00390625,4.498046875,5.59765625,5.00390625
119,5.3056640625,4.50390625,4.6806640625,5.3056640625,4.76171875,4.50390625,5.1572265625,4.76171875
120,5.4287109375,4.498046875,4.78125,5.4287109375,4.802734375,4.498046875,5.259765625,4.802734375
121,5.3310546875,4.50390625,4.716796875,5.3310546875,4.896484375,4.50390625,5.1748046875,4.896484375
122,5.470703125,4.498046875,4.7734375,5.470703125,4.71484375,4.498046875,5.2841796875,4.71484375
123,5.3486328125,4.50390625,4.78125,5.3486328125,4.953125,4.50390625,5.1962890625,4.953125
124,5.2236328125,4.498046875,4.76953125,5.2236328125,4.833984375,4.498046875,5.14453125,4.833984375
125,5.4873046875,4.50390625,4.6962890625,5.4873046875,4.69140625,4.50390625,5.111328125,4.69140625
126,5.3251953125,4.498046875,4.7705078125,5.3251953125,4.8857421875,4.498046875,5.2265625,4.8857421875
127,5.2919921875,4.50390625,4.75390625,5.2919921875,4.671875,4.50390625,5.3076171875,4.671875
128,5.171875,4.498046875,4.7314453125,5.171875,4.9072265625,4.498046875,5.1884765625,4.9072265625
129,5.4296875,4.50390625,4.7001953125,5.4296875,4.654296875,4.50390625,5.23828125,4.654296875
130,5.2294921875,4.498046875,4.7021484375,5.2294921875,4.6962890625,4.498046875,5.3896484375,4.6962890625
131,5.1748046875,4.50390625,4.822265625,5.1748046875,4.697265625,4.50390625,5.111328125,4.697265625
132,5.28125,4.498046875,4.716796875,5.28125,4.6669921875,4.498046875,5.16796875,4.6669921875
133,5.3037109375,4.50390625,4.7724609375,5.3037109375,4.7607421875,4.50390625,5.11328125,4.7607421875
134,5.232421875,4.498046875,4.7626953125,5.232421875,4.662109375,4.498046875,5.2060546875,4.662109375
135,5.4248046875,4.50390625,4.6650390625,5.4248046875,4.7607421875,4.50390625,5.0732421875,4.7607421875
136,5.3505859375,4.498046875,4.7919921875,5.3505859375,4.7880859375,4.498046875,5.0400390625,4.7880859375
137,5.1630859375,4.50390625,4.6162109375,5.1630859375,4.6875,4.50390625,5.3095703125,4.6875
