,ansatz_0a_su2_3f,ansatz_0b_su2_3f,ansatz_0c_su2_3f,ansatz_0d_su2_3f,ansatz_1a_su2_3f,ansatz_1b_su2_3f,ansatz_1c_su2_3f,ansatz_1d_su2_3f
42,7.6513671875,4.517578125,7.5029296875,7.75390625,7.4296875,4.517578125,7.390625,7.7421875
43,7.74609375,4.51171875,7.5224609375,7.498046875,7.5380859375,4.51171875,7.3759765625,7.91796875
44,7.7294921875,4.509765625,7.4482421875,7.658203125,7.7431640625,4.509765625,7.6083984375,7.705078125
45,7.3466796875,4.4453125,7.5107421875,7.6318359375,7.115234375,4.4453125,7.2568359375,7.9384765625
46,7.7431640625,4.5,7.5986328125,7.5,7.3427734375,4.5,7.6953125,7.8095703125
47,7.2529296875,4.5078125,7.517578125,7.5576171875,7.28515625,4.5078125,7.42578125,7.8828125
48,7.4140625,4.466796875,7.5517578125,7.5966796875,7.5048828125,4.466796875,7.380859375,7.939453125
49,7.7412109375,4.5390625,7.625,7.5673828125,7.5634765625,4.5390625,7.591796875,8.0029296875
50,7.708984375,4.498046875,7.5771484375,7.92578125,7.21484375,4.498046875,7.642578125,7.8193359375
51,7.607421875,4.50390625,7.404296875,7.306640625,7.66796875,4.50390625,7.275390625,7.8427734375
52,7.7333984375,4.498046875,7.2099609375,7.64453125,7.677734375,4.498046875,7.6103515625,7.912109375
53,7.3720703125,4.50390625,7.2919921875,7.2568359375,8.109375,4.50390625,7.9833984375,7.6845703125
54,7.076171875,4.498046875,7.4833984375,7.646484375,7.9560546875,4.498046875,7.40625,7.5078125
55,7.109375,4.50390625,7.2568359375,7.419921875,7.4853515625,4.50390625,6.9609375,7.65234375
56,7.2099609375,4.498046875,7.17578125,7.6953125,7.921875,4.498046875,7.2578125,7.73828125
57,6.7255859375,4.50390625,7.515625,7.5908203125,7.0869140625,4.50390625,7.10546875,7.2958984375
58,7.5390625,4.498046875,7.638671875,7.5810546875,7.228515625,4.498046875,7.134765625,7.0341796875
59,6.970703125,4.50390625,7.578125,7.6044921875,7.2587890625,4.50390625,7.35546875,7.2236328125
60,7.2021484375,4.498046875,7.6923828125,7.5478515625,7.271484375,4.498046875,7.25,6.9765625
61,7.091796875,4.50390625,7.7294921875,7.6044921875,7.1298828125,4.50390625,7.1513671875,7.2841796875
62,7.1025390625,4.498046875,7.5986328125,7.6884765625,7.2158203125,4.498046875,7.193359375,6.916015625
63,7.046875,4.50390625,7.611328125,7.4814453125,7.0830078125,4.50390625,7.2333984375,7.1728515625
64,7.013671875,4.498046875,7.5634765625,7.412109375,7.16796875,4.498046875,7.07421875,6.90625
65,7.091796875,4.50390625,7.4150390625,7.6025390625,7.2490234375,4.50390625,7.1416015625,6.9423828125
66,7.1689453125,4.498046875,7.6513671875,7.33984375,6.7900390625,4.498046875,7.2255859375,6.94140625
67,6.900390625,4.50390625,7.26953125,7.568359375,7.443359375,4.50390625,7.11328125,6.814453125
68,6.74609375,4.498046875,7.462890625,7.2666015625,7.3544921875,4.498046875,7.1953125,6.787109375
69,7.0244140625,4.50390625,7.265625,7.1826171875,6.826171875,4.50390625,7.0869140625,6.9599609375
70,6.8828125,4.498046875,7.345703125,7.345703125,6.7353515625,4.498046875,7.26953125,6.865234375
71,6.7646484375,4.50390625,7.0078125,7.2509765625,6.5634765625,4.50390625,7.0625,6.767578125
72,6.736328125,4.498046875,7.78515625,7.306640625,6.77734375,4.498046875,7.240234375,6.7607421875
73,6.9677734375,4.50390625,7.8330078125,7.2138671875,6.5859375,4.50390625,7.099609375,6.859375
74,6.9296875,4.498046875,7.6455078125,7.333984375,6.638671875,4.498046875,7.4189453125,6.7958984375
75,6.568359375,4.50390625,7.765625,7.1640625,6.6396484375,4.50390625,7.0400390625,6.74609375
76,6.833984375,4.498046875,7.5478515625,7.158203125,6.7705078125,4.498046875,7.232421875,6.748046875
77,6.5966796875,4.50390625,7.7490234375,7.2119140625,6.6279296875,4.50390625,7.5009765625,6.751953125
78,6.7734375,4.498046875,7.8857421875,7.1806640625,6.796875,4.498046875,7.181640625,6.953125
79,6.65625,4.50390625,7.490234375,7.1904296875,6.6796875,4.50390625,7.2001953125,6.6513671875
80,6.525390625,4.498046875,7.4736328125,7.3515625,6.7255859375,4.498046875,7.134765625,6.779296875
81,6.6708984375,4.50390625,7.2939453125,7.2294921875,6.66796875,4.50390625,7.3173828125,6.5732421875
82,6.798828125,4.498046875,7.2626953125,6.9853515625,6.6640625,4.498046875,7.3095703125,6.8544921875
83,6.4599609375,4.50390625,7.4736328125,7.1171875,6.6787109375,4.50390625,6.931640625,6.5859375
84,6.5400390625,4.498046875,7.2080078125,7.013671875,6.95703125,4.498046875,6.880859375,6.7431640625
85,6.734375,4.50390625,7.3212890625,7.12109375,6.326171875,4.50390625,7.1123046875,6.6376953125
86,6.748046875,4.498046875,7.3447265625,7.2109375,6.03125,4.498046875,6.927734375,6.6962890625
87,6.447265625,4.50390625,7.119140625,6.943359375,6.44140625,4.50390625,6.8671875,6.748046875
88,6.59765625,4.498046875,7.53515625,7.0439453125,6.3076171875,4.498046875,6.96484375,6.7490234375
89,6.7333984375,4.50390625,7.302734375,7.0625,6.2529296875,4.50390625,6.9072265625,6.61328125
90,6.65625,4.498046875,7.2978515625,7.0654296875,6.4052734375,4.498046875,6.796875,6.55859375
91,6.4599609375,4.50390625,7.3291015625,6.8544921875,6.1513671875,4.50390625,7.013671875,6.744140625
92,6.4951171875,4.498046875,7.32421875,6.88671875,6.1962890625,4.498046875,6.9931640625,6.658203125
93,6.7021484375,4.50390625,7.205078125,6.9296875,6.2470703125,4.50390625,6.6708984375,6.638671875
94,6.486328125,4.498046875,7.50390625,7.0185546875,6.2568359375,4.498046875,6.791015625,6.5634765625
95,6.494140625,4.50390625,7.2470703125,6.896484375,6.3515625,4.50390625,6.712890625,6.6015625
96,6.27734375,4.498046875,7.42578125,6.962890625,6.037109375,4.498046875,6.658203125,6.6513671875
97,6.6083984375,4.50390625,7.2333984375,6.869140625,6.3603515625,4.50390625,6.8115234375,6.615234375
98,6.4658203125,4.498046875,7.490234375,6.96484375,6.3486328125,4.498046875,6.7998046875,6.396484375
99,6.1796875,4.50390625,7.2607421875,6.91015625,5.9765625,4.50390625,6.7373046875,6.6845703125
