,ansatz_0a_su2,ansatz_0b_su2,ansatz_0c_su2,ansatz_0d_su2,ansatz_1a_su2,ansatz_1b_su2,ansatz_1c_su2,ansatz_1d_su2
197,,,3.828125,,,,3.7734375,
198,,,3.84375,,,,3.7822265625,
199,,,3.9111328125,,,,3.7705078125,
200,,,3.8447265625,,,,3.7724609375,
201,,,3.8779296875,,,,3.7734375,
202,,,3.8310546875,,,,3.771484375,
203,,,3.892578125,,,,3.771484375,
204,,,3.828125,,,,3.7734375,
205,,,3.806640625,,,,3.7744140625,
206,,,3.796875,,,,3.767578125,
207,,,3.8291015625,,,,3.7734375,
208,,,3.8134765625,,,,3.7802734375,
209,,,3.810546875,,,,3.76953125,
210,,,3.8095703125,,,,3.7783203125,
211,,,3.861328125,,,,3.7734375,
212,,,3.8125,,,,3.771484375,
213,,,3.833984375,,,,3.7666015625,
214,,,3.8134765625,,,,3.7724609375,
215,,,3.8203125,,,,3.775390625,
216,,,3.8564453125,,,,3.771484375,
217,,,3.8212890625,,,,3.771484375,
218,,,3.8076171875,,,,3.767578125,
219,,,3.84375,,,,3.7705078125,
220,,,3.8134765625,,,,3.7666015625,
221,,,3.8212890625,,,,3.7685546875,
222,,,3.81640625,,,,3.7705078125,
223,,,3.8173828125,,,,3.7666015625,
224,,,3.8095703125,,,,3.771484375,
225,,,3.814453125,,,,3.7666015625,
226,,,3.791015625,,,,3.7705078125,
227,,,3.8046875,,,,3.771484375,
228,,,3.8076171875,,,,3.7685546875,
229,,,3.7939453125,,,,3.7724609375,
230,,,3.7939453125,,,,3.7763671875,
231,,,3.80859375,,,,3.76953125,
232,,,3.7978515625,,,,3.7734375,
233,,,3.80078125,,,,3.7646484375,
234,,,3.8095703125,,,,3.767578125,
235,,,3.8076171875,,,,3.76953125,
236,,,3.7919921875,,,,3.7685546875,
237,,,3.7939453125,,,,3.7666015625,
238,,,3.7939453125,,,,3.76953125,
239,,,3.802734375,,,,3.767578125,
240,,,3.8046875,,,,3.767578125,
241,,,3.7978515625,,,,3.7685546875,
242,,,3.7998046875,,,,3.7685546875,
243,,,3.8037109375,,,,3.767578125,
244,,,3.8017578125,,,,3.76953125,
245,,,3.798828125,,,,3.7666015625,
246,,,3.80078125,,,,3.7646484375,
247,,,3.791015625,,,,3.767578125,
248,,,3.7890625,,,,3.765625,
249,,,3.80859375,,,,3.767578125,
250,,,3.7978515625,,,,3.765625,
251,,,3.796875,,,,3.7724609375,
252,,,3.7958984375,,,,3.765625,
253,,,3.79296875,,,,3.771484375,
254,,,3.8037109375,,,,3.765625,
255,,,3.7958984375,,,,3.767578125,
256,,,3.791015625,,,,3.7646484375,
257,,,3.7880859375,,,,3.767578125,
258,,,3.79296875,,,,3.765625,
259,,,3.7939453125,,,,3.7666015625,
260,,,3.8046875,,,,3.7646484375,
261,,,3.7919921875,,,,3.767578125,
262,,,3.79296875,,,,3.765625,
263,,,3.7919921875,,,,3.7646484375,
264,,,3.7978515625,,,,3.7666015625,
265,,,3.7890625,,,,3.7646484375,
266,,,3.7919921875,,,,3.7646484375,
267,,,3.7900390625,,,,3.765625,
268,,,3.791015625,,,,3.7646484375,
269,,,3.7900390625,,,,3.767578125,
270,,,3.7919921875,,,,3.7646484375,
271,,,3.791015625,,,,3.7646484375,
272,,,3.7900390625,,,,3.765625,
273,,,3.791015625,,,,3.7646484375,
274,,,3.7900390625,,,,3.765625,
275,,,3.79296875,,,,3.765625,
276,,,3.7890625,,,,3.7646484375,
277,,,3.791015625,,,,3.7646484375,
