,ansatz_0a_su2_2f,ansatz_0b_su2_2f,ansatz_0c_su2_2f,ansatz_0d_su2_2f,ansatz_1a_su2_2f,ansatz_1b_su2_2f,ansatz_1c_su2_2f,ansatz_1d_su2_2f
25,5.8955078125,4.498046875,7.0244140625,6.228515625,5.8876953125,4.498046875,6.8603515625,5.623046875
26,6.2587890625,4.498046875,7.1611328125,6.28125,5.689453125,4.498046875,6.255859375,5.98046875
27,6.263671875,4.498046875,7.2001953125,6.3837890625,5.7822265625,4.498046875,6.2158203125,5.51171875
28,6.1396484375,4.498046875,7.046875,6.373046875,5.5537109375,4.498046875,6.125,5.85546875
29,5.7587890625,4.498046875,7.0498046875,6.2138671875,5.5830078125,4.498046875,6.484375,5.6181640625
30,6.0244140625,4.498046875,7.0126953125,6.34375,5.6845703125,4.498046875,6.0234375,5.470703125
31,6.0859375,4.498046875,7.013671875,6.4013671875,5.6044921875,4.498046875,6.001953125,5.5146484375
32,5.69921875,4.498046875,7.091796875,6.333984375,5.8818359375,4.498046875,6.0546875,5.7744140625
33,5.9052734375,4.498046875,6.951171875,6.3349609375,5.642578125,4.498046875,6.00390625,5.755859375
34,5.818359375,4.498046875,6.931640625,6.158203125,5.9248046875,4.498046875,5.986328125,5.7470703125
35,5.87890625,4.498046875,7.11328125,6.1962890625,5.619140625,4.498046875,5.958984375,5.7978515625
36,5.568359375,4.498046875,7.021484375,6.16015625,5.8291015625,4.498046875,5.861328125,6.0048828125
37,5.900390625,4.498046875,6.849609375,6.0205078125,5.6220703125,4.498046875,5.6572265625,5.578125
38,5.5185546875,4.498046875,6.939453125,6.1748046875,5.7841796875,4.498046875,6.0302734375,5.6123046875
39,5.8662109375,4.498046875,6.86328125,6.0537109375,5.744140625,4.498046875,5.787109375,5.7041015625
40,5.6064453125,4.498046875,6.978515625,6.21484375,5.794921875,4.498046875,5.783203125,5.5478515625
41,5.9306640625,4.498046875,7.037109375,6.052734375,5.873046875,4.498046875,5.8056640625,5.53515625
42,5.671875,4.498046875,6.9970703125,6.7783203125,5.5693359375,4.498046875,5.736328125,5.501953125
43,5.3779296875,4.498046875,6.8759765625,6.1103515625,5.5595703125,4.498046875,5.705078125,5.509765625
44,5.296875,4.498046875,6.86328125,5.8193359375,5.5361328125,4.498046875,6.1806640625,5.55859375
45,5.39453125,4.498046875,6.8388671875,5.9931640625,5.58984375,4.498046875,5.73046875,5.505859375
46,5.240234375,4.498046875,6.919921875,5.8310546875,5.5419921875,4.498046875,5.6962890625,5.59375
47,5.2705078125,4.498046875,7.0,6.3515625,5.57421875,4.498046875,5.66015625,5.5419921875
48,5.287109375,4.498046875,6.8291015625,5.9013671875,5.603515625,4.498046875,5.69140625,5.55859375
49,5.09375,4.498046875,6.7734375,5.98828125,5.5927734375,4.498046875,5.6416015625,5.423828125
50,5.068359375,4.498046875,6.92578125,5.8681640625,5.7060546875,4.498046875,5.61328125,5.439453125
51,5.1494140625,4.498046875,6.8037109375,5.8837890625,5.6572265625,4.498046875,5.6640625,5.4716796875
52,5.1025390625,4.498046875,7.341796875,5.9150390625,5.6201171875,4.498046875,5.6669921875,5.4638671875
53,5.0771484375,4.498046875,6.8388671875,5.87890625,5.5888671875,4.498046875,5.654296875,5.3857421875
54,5.07421875,4.498046875,7.1728515625,6.0068359375,5.6142578125,4.498046875,5.732421875,5.41796875
55,5.0126953125,4.498046875,6.8798828125,5.76171875,5.6455078125,4.498046875,5.62890625,5.41796875
56,4.82421875,4.498046875,6.58203125,5.771484375,5.5390625,4.498046875,5.8388671875,5.400390625
57,5.0595703125,4.498046875,6.5712890625,5.8955078125,5.5810546875,4.498046875,5.6181640625,5.337890625
58,4.8779296875,4.498046875,6.7041015625,5.8779296875,5.5654296875,4.498046875,5.6884765625,5.2666015625
59,5.0751953125,4.498046875,6.5966796875,5.76171875,5.52734375,4.498046875,5.6376953125,5.3203125
60,4.822265625,4.498046875,6.861328125,5.7998046875,5.556640625,4.498046875,5.9267578125,5.240234375
61,4.642578125,4.498046875,6.4521484375,5.755859375,5.556640625,4.498046875,5.8125,5.255859375
62,4.6640625,4.498046875,6.3994140625,5.8955078125,5.6044921875,4.498046875,5.869140625,5.19140625
63,4.6904296875,4.498046875,6.5126953125,5.861328125,5.5791015625,4.498046875,5.6591796875,5.1708984375
64,4.7080078125,4.498046875,6.4423828125,5.828125,5.57421875,4.498046875,5.701171875,5.2109375
65,4.7353515625,4.498046875,6.4072265625,5.748046875,5.59765625,4.498046875,5.5341796875,5.1787109375
66,4.693359375,4.498046875,6.6455078125,5.73828125,5.55859375,4.498046875,5.9638671875,5.1591796875
67,4.61328125,4.498046875,6.423828125,5.8271484375,5.5830078125,4.498046875,5.57421875,5.171875
68,4.6865234375,4.498046875,6.2529296875,5.7275390625,5.5703125,4.498046875,5.7177734375,5.166015625
69,4.59375,4.498046875,6.3310546875,5.7578125,5.59375,4.498046875,5.5576171875,5.177734375
70,4.626953125,4.498046875,6.6259765625,5.7197265625,5.5380859375,4.498046875,5.5712890625,5.18359375
71,4.7314453125,4.498046875,6.2783203125,5.623046875,5.5673828125,4.498046875,5.5986328125,5.123046875
72,4.625,4.498046875,6.37890625,5.6650390625,5.564453125,4.498046875,5.6630859375,5.1279296875
73,4.642578125,4.498046875,6.318359375,5.791015625,5.53515625,4.498046875,5.564453125,5.1259765625
74,4.5400390625,4.498046875,6.5283203125,5.5810546875,5.5849609375,4.498046875,5.6044921875,5.19140625
75,4.6552734375,4.498046875,6.212890625,5.6455078125,5.59375,4.498046875,5.705078125,5.1572265625
76,4.6318359375,4.498046875,6.283203125,5.6015625,5.5732421875,4.498046875,5.654296875,5.1376953125
77,4.697265625,4.498046875,6.212890625,5.62109375,5.56640625,4.498046875,5.572265625,5.1298828125
78,4.5673828125,4.498046875,6.419921875,5.578125,5.5751953125,4.498046875,5.6494140625,5.1044921875
79,4.8037109375,4.498046875,6.087890625,5.57421875,5.5283203125,4.498046875,5.5341796875,5.087890625
80,4.5751953125,4.498046875,6.0537109375,5.71875,5.5517578125,4.498046875,5.59375,5.1845703125
