,ansatz_2a,ansatz_2b,ansatz_3c,ansatz_3b,ansatz_4a,ansatz_4b
31,7.4697265625,7.7021484375,6.7529296875,7.8916015625,7.279296875,7.8603515625
32,7.3251953125,7.5390625,6.8759765625,7.134765625,7.275390625,7.3125
33,7.3369140625,7.7333984375,6.9580078125,7.630859375,7.693359375,7.6748046875
34,7.7900390625,7.5869140625,7.310546875,7.2890625,7.5869140625,7.28125
35,6.7705078125,7.6005859375,6.5341796875,7.48828125,7.41015625,7.693359375
36,7.546875,7.458984375,6.7646484375,7.375,7.19140625,7.6142578125
37,7.4189453125,7.7666015625,7.12109375,7.36328125,7.8828125,7.361328125
38,7.439453125,7.521484375,6.6689453125,7.5166015625,7.5068359375,7.5283203125
39,7.2080078125,7.8876953125,7.1083984375,7.19921875,7.7421875,7.51953125
40,7.2626953125,7.68359375,6.92578125,6.9619140625,7.6796875,7.23828125
41,7.2958984375,7.4013671875,6.9208984375,7.73046875,7.384765625,7.736328125
42,7.244140625,7.427734375,6.8701171875,7.1884765625,7.5498046875,7.4072265625
43,7.369140625,7.8603515625,7.0224609375,7.666015625,7.51171875,7.775390625
44,7.244140625,7.5048828125,7.3701171875,7.57421875,7.767578125,7.6357421875
45,7.474609375,7.783203125,6.3798828125,7.2236328125,7.2080078125,7.4677734375
46,7.4208984375,7.39453125,6.78515625,7.5,7.6279296875,7.5478515625
47,7.2333984375,7.7421875,7.0087890625,7.1943359375,7.525390625,7.2783203125
48,7.1904296875,7.6376953125,6.783203125,7.5830078125,7.4189453125,7.8232421875
49,7.4921875,7.7568359375,7.0087890625,7.2255859375,7.525390625,7.1953125
50,7.203125,7.9052734375,7.1103515625,7.7080078125,7.5576171875,7.8095703125
51,7.52734375,7.4833984375,6.65625,7.078125,7.560546875,7.13671875
52,6.556640625,7.6123046875,6.6396484375,8.017578125,7.7421875,7.9814453125
53,6.8662109375,7.4482421875,7.1064453125,7.4111328125,7.4521484375,7.357421875
54,6.4052734375,7.3154296875,7.3779296875,7.4130859375,7.6484375,7.2470703125
55,6.6279296875,7.595703125,6.927734375,7.04296875,7.248046875,7.1083984375
56,6.7763671875,7.1826171875,6.515625,7.0234375,7.060546875,7.427734375
57,6.1484375,7.357421875,7.203125,7.158203125,7.1572265625,7.107421875
58,5.9296875,7.0576171875,5.9755859375,7.1708984375,7.263671875,7.298828125
59,6.333984375,7.2236328125,5.771484375,6.869140625,6.8388671875,6.923828125
60,6.3681640625,7.0859375,5.79296875,6.8740234375,7.0751953125,6.7763671875
61,5.7783203125,7.072265625,6.1259765625,7.119140625,6.865234375,7.0966796875
62,6.48828125,7.2529296875,5.9248046875,7.04296875,6.947265625,6.8212890625
63,5.77734375,6.875,5.783203125,6.791015625,6.9638671875,6.619140625
64,5.537109375,7.115234375,5.7939453125,6.734375,6.9072265625,6.72265625
65,5.58984375,6.8671875,6.05078125,6.9306640625,6.9970703125,6.6865234375
66,5.5830078125,6.984375,5.755859375,6.8974609375,6.91015625,6.8037109375
67,5.46875,6.896484375,5.810546875,6.576171875,6.8701171875,6.6181640625
68,5.55859375,6.9287109375,5.5478515625,6.4013671875,7.0498046875,6.47265625
69,5.4775390625,6.8916015625,5.7958984375,6.7431640625,6.6337890625,6.779296875
70,5.638671875,6.92578125,5.8408203125,6.484375,6.53515625,6.529296875
71,5.25390625,6.9345703125,5.30078125,6.6162109375,6.69140625,6.43359375
72,5.48828125,6.8115234375,5.34375,6.40625,6.630859375,6.4013671875
73,4.9755859375,7.0517578125,5.4580078125,6.4921875,6.4765625,6.6015625
74,5.2041015625,6.736328125,5.4296875,6.4462890625,6.58984375,6.3486328125
75,4.8408203125,6.5693359375,5.208984375,6.5283203125,6.4560546875,6.61328125
76,4.7822265625,6.826171875,5.41796875,6.19921875,6.42578125,6.2080078125
77,5.1220703125,6.638671875,5.158203125,6.6826171875,6.5908203125,6.5615234375
78,4.888671875,6.822265625,5.2587890625,6.4541015625,6.4462890625,6.1875
79,4.8212890625,6.611328125,5.068359375,5.8603515625,6.513671875,6.203125
80,4.8935546875,6.8203125,5.2998046875,6.1416015625,6.5703125,6.1630859375
81,4.7255859375,6.4267578125,5.2705078125,5.7255859375,6.3818359375,6.333984375
82,4.849609375,6.552734375,5.306640625,5.9658203125,6.515625,6.3974609375
83,4.859375,6.4375,5.189453125,5.7802734375,6.3828125,6.0908203125
84,4.7734375,6.48828125,5.35546875,5.9169921875,6.505859375,6.27734375
85,4.7880859375,6.4453125,5.0595703125,5.896484375,6.4765625,6.0849609375
86,4.7861328125,6.6123046875,5.3369140625,5.9404296875,6.5791015625,6.212890625
87,4.7177734375,6.46875,5.1123046875,5.845703125,6.439453125,6.1533203125
88,4.736328125,6.951171875,5.380859375,6.0537109375,6.5888671875,6.158203125
89,4.9931640625,6.2080078125,5.0478515625,5.8701171875,6.294921875,6.1669921875
90,4.7333984375,6.4912109375,5.3154296875,5.8974609375,6.490234375,6.21484375
91,4.666015625,6.2861328125,4.9345703125,5.8994140625,6.35546875,6.1220703125
92,4.8271484375,6.4443359375,4.9150390625,5.7880859375,6.4169921875,6.1923828125
93,4.6142578125,6.29296875,5.09375,5.9755859375,6.408203125,6.201171875
94,4.6875,6.5361328125,4.8330078125,5.9501953125,6.3349609375,6.111328125
95,4.6728515625,6.1044921875,5.029296875,5.74609375,6.4306640625,6.2568359375
96,4.72265625,6.0947265625,4.9423828125,5.8955078125,6.412109375,6.2109375
97,4.6904296875,6.02734375,5.0556640625,5.84765625,6.3388671875,6.1103515625
98,4.8681640625,6.103515625,4.798828125,5.849609375,6.3837890625,6.1162109375
99,4.685546875,6.14453125,4.982421875,5.7001953125,6.3388671875,6.072265625
