,ansatz_0a_2f,ansatz_0b_2f,ansatz_0c_2f,ansatz_0d_2f,ansatz_1a_2f,ansatz_1b_2f,ansatz_1c_2f,ansatz_1d_2f
126,4.7021484375,4.498046875,4.8173828125,4.654296875,4.583984375,4.498046875,4.767578125,4.6044921875
127,4.572265625,4.50390625,4.70703125,4.6181640625,4.625,4.50390625,4.7119140625,4.54296875
128,4.5546875,4.498046875,4.6044921875,4.630859375,4.5927734375,4.498046875,4.7822265625,4.5341796875
129,4.6103515625,4.50390625,4.9443359375,4.6162109375,4.58984375,4.50390625,4.5341796875,4.53515625
130,4.609375,4.498046875,4.8505859375,4.5654296875,4.63671875,4.498046875,4.82421875,4.580078125
131,4.57421875,4.50390625,4.642578125,4.5947265625,4.5595703125,4.50390625,4.623046875,4.5859375
132,4.5927734375,4.498046875,4.74609375,4.6171875,4.6630859375,4.498046875,4.74609375,4.6591796875
133,4.5830078125,4.50390625,4.74609375,4.607421875,4.662109375,4.50390625,4.6748046875,4.625
134,4.5703125,4.498046875,4.7080078125,4.5859375,4.6396484375,4.498046875,4.7568359375,4.64453125
135,4.53125,4.50390625,4.6083984375,4.5791015625,4.6064453125,4.50390625,4.6865234375,4.59765625
136,4.57421875,4.498046875,4.646484375,4.5947265625,4.603515625,4.498046875,4.646484375,4.6162109375
137,4.59375,4.50390625,4.6796875,4.5927734375,4.576171875,4.50390625,4.6142578125,4.5908203125
138,4.5869140625,4.498046875,4.734375,4.5947265625,4.5712890625,4.498046875,4.7265625,4.5283203125
139,4.5498046875,4.50390625,4.74609375,4.5517578125,4.5703125,4.50390625,4.634765625,4.4892578125
140,4.7568359375,4.498046875,4.7265625,4.771484375,4.5322265625,4.498046875,4.7626953125,4.599609375
141,4.5888671875,4.50390625,4.7021484375,4.55859375,4.6435546875,4.50390625,4.6669921875,4.587890625
142,4.607421875,4.498046875,4.720703125,4.5859375,4.5302734375,4.498046875,4.708984375,4.5478515625
143,4.58984375,4.50390625,4.76953125,4.546875,4.5205078125,4.50390625,4.529296875,4.5439453125
144,4.7373046875,4.498046875,4.751953125,4.6904296875,4.5771484375,4.498046875,4.64453125,4.5771484375
145,4.556640625,4.50390625,4.5771484375,4.6005859375,4.5634765625,4.50390625,4.6142578125,4.5732421875
146,4.615234375,4.498046875,4.6015625,4.634765625,4.5888671875,4.498046875,4.681640625,4.580078125
147,4.5849609375,4.50390625,4.6708984375,4.583984375,4.5517578125,4.50390625,4.689453125,4.5693359375
148,4.6201171875,4.498046875,4.7890625,4.515625,4.462890625,4.498046875,4.6904296875,4.5458984375
149,4.525390625,4.50390625,4.4951171875,4.5146484375,4.564453125,4.50390625,4.6826171875,4.533203125
150,4.5771484375,4.498046875,4.603515625,4.587890625,4.625,4.498046875,4.65234375,4.6552734375
151,4.4375,4.50390625,4.58984375,4.515625,4.5732421875,4.50390625,4.5830078125,4.6025390625
152,4.49609375,4.498046875,4.7265625,4.4736328125,4.578125,4.498046875,4.65234375,4.6201171875
153,4.5263671875,4.50390625,4.603515625,4.548828125,4.630859375,4.50390625,4.650390625,4.5703125
154,4.693359375,4.498046875,4.5576171875,4.701171875,4.6474609375,4.498046875,4.640625,4.609375
155,4.5556640625,4.50390625,4.611328125,4.5615234375,4.5595703125,4.50390625,4.64453125,4.62890625
156,4.58984375,4.498046875,4.703125,4.5625,4.59765625,4.498046875,4.677734375,4.6005859375
157,4.583984375,4.50390625,4.580078125,4.5888671875,4.6142578125,4.50390625,4.7802734375,4.595703125
158,4.7314453125,4.498046875,4.69921875,4.7568359375,4.552734375,4.498046875,4.62109375,4.57421875
159,4.6572265625,4.50390625,4.6611328125,4.654296875,4.515625,4.50390625,4.6708984375,4.544921875
160,4.63671875,4.498046875,4.650390625,4.6025390625,4.548828125,4.498046875,4.7138671875,4.5615234375
