,seed_28
137,7.962000503932855
138,8.342292351249466
139,8.02207872226681
140,8.062424509712
141,8.080961811549168
142,7.820876998189723
143,8.277391286227603
144,7.883193845407902
145,8.136247414032933
146,8.014332323228285
147,7.931687083759847
148,8.131883692069337
149,7.981350752060321
150,7.761678714580675
151,8.371317861632823
152,8.174260894655639
153,7.549119861786591
154,7.553252175064697
155,8.017333673523972
156,8.110990496645327
157,7.237248090822846
158,7.575259166537609
159,7.432815945959338
160,7.722376280902513
161,7.401173788812649
162,7.400547198050881
163,7.789842625926008
164,7.681019927651813
165,7.175500691688938
166,7.329642366295337
167,7.396358908800541
168,7.777215806515449
169,6.935998493135743
170,7.367887462822569
171,6.943740810430822
172,7.23220841381288
173,7.1938430766414845
174,7.159905244159864
175,7.256786502191463
176,7.4312147062959
177,7.037809353406618
178,6.864089587083152
179,7.392660403220949
180,7.229457525312208
181,7.090287306566776
182,7.200331345790103
183,6.941646488718646
184,7.023708544327561
185,7.292684730921465
186,6.865222356009033
187,7.007535815444203
188,7.033618343132642
189,7.134991561245307
190,7.069301623253122
191,6.90032620542051
192,7.238683760945848
193,6.905675950231348
194,7.409165407331072
195,6.514500729947252
196,7.026463251091127
197,6.7534533076010055
198,7.092498243393271
199,6.635427135354356
200,7.089450137436213
201,6.5436777199317815
202,7.256464492120869
203,6.198419972373786
204,6.515349389790761
205,6.6485243680682595
206,6.521502394302751
207,6.50950770885157
208,6.925166946756481
209,6.153444719582626
210,6.033798748455384
211,6.736517315484306
212,6.315034344839822
213,6.140028520795312
214,6.362924526646427
215,6.4474130445981235
216,6.853692514016153
217,5.736217545569968
218,6.403770263782343
219,5.840555401585127
220,5.93014717880748
221,5.965988730975253
222,5.619668655050911
223,6.204171412451276
224,5.461839772574011
225,6.332077810895794
226,5.886153359771122
227,5.661113766846532
228,5.930434588416184
229,5.329791965699597
230,5.595677489965567
231,5.6536013534024345
232,6.052573163375757
233,5.217394626464687
234,5.805410611562434
235,5.361976643835338
236,5.62832032855579
237,5.337468198512724
238,5.352964085095682
239,5.537265254024018
240,5.778895454365519
241,5.1746110742328195
242,5.402410542304776
243,5.338909140471232
244,5.203509604033537
245,5.603845584336111
246,5.507981736903338
247,5.413338398490496
248,5.27296416373479
249,5.45422838083693
250,5.361798106129398
251,5.3386415315100155
252,5.506359144104268
253,5.258816089144156
254,5.377257113342528
255,5.2085601495668925
256,5.459115076081002
257,5.18252818132503
258,5.183364699875804
259,5.384130200332941
260,5.653180630080823
261,5.0307283059867185
262,5.108285046064834
263,5.533592598744622
264,4.882694757836864
265,5.5485152753997244
266,5.298958185016998
267,4.799458539897222
268,5.047607410134231
269,5.120032135355548
270,5.156678898043256
271,4.868664478638546
272,5.349297338447578
273,4.697850014660256
274,4.870556256095409
275,4.976639182152282
276,4.8727823595473545
277,4.989788688293599
278,4.983363830183423
279,4.8605866691855235
280,4.860038205786358
281,5.072880020898316
282,5.009426119824828
283,4.820817267703135
284,4.818223884420121
285,4.985556845977049
286,4.791861609542489
287,4.976958984003387
288,5.074312298199368
289,4.681819293015224
290,4.931610614163751
291,4.788718558782065
292,4.882411565003113
293,4.696564244438281
294,4.618158850977016
295,5.156120104159093
296,4.623485265010665
297,4.962915090839473
298,4.658998810132013
299,4.790981945172329
300,4.60140302127747
301,4.833288457307101
302,4.571278839507756
303,4.8398972923243555
304,4.744886799537071
305,4.6581137044620835
306,4.844864804230822
307,4.472847308455582
308,4.518218110218544
309,4.8321603326224984
310,4.758496945211331
311,4.494763906478484
312,4.693817790267995
313,4.495798463407324
314,4.958650387754709
315,4.337175465409539
316,4.595331592266698
317,4.507301992802141
318,4.453964139215172
319,4.600153331256202
320,4.682424064660066
321,4.474788168549235
322,4.73723729364644
323,4.40186136307026
324,4.477336505549105
325,4.637840128791938
326,4.468255204056891
327,4.503955738021908
328,4.660865910272349
329,4.461668410165947
330,4.690744843623755
331,4.310796516332565
332,4.580461710039146
333,4.339421734981975
334,4.606286045813466
335,4.424225669784376
336,4.618853413091309
337,4.308603240180687
338,4.672794023661526
339,4.273558863155159
340,4.318167884469121
341,4.519095670016649
342,4.412549671069045
343,4.424238531931487
344,4.496493553864881
345,4.321718745031927
346,4.52192565843055
347,4.323469294014212
348,4.3327677798338575
349,4.502225659647804
350,4.458455256918984
351,4.357675303347848
352,4.789875972092763
353,4.064628269371128
354,4.274331805241739
355,4.410072903990266
356,4.573205924536366
357,4.175770164112775
358,4.5152215708791275
359,4.110149593431187
360,4.324387745688731
361,4.139288599627584
362,4.196833588014204
363,4.409426717333826
364,4.317067706353941
365,4.315860002483019
366,4.294260312347694
367,4.190259108302944
368,4.185812231868765
369,4.354331801154228
370,4.4374116603579
371,3.919159463024399
372,4.453976597103923
373,3.9784588434369734
374,4.158688533570512
375,4.188812578102234
376,4.094631293339357
377,4.277923231402941
378,4.428000069900011
379,3.9458638529912182
380,4.124912462835742
381,4.13120160160023
382,4.247612999381469
383,4.080234168787964
384,4.1402975561153745
385,4.157269672218869
386,4.272168386471264
387,4.080801545512617
388,4.12352292934652
389,4.199317708755675
390,4.242606677223674
391,3.954462510352766
392,4.140525252121091
393,4.157376485541477
394,4.293278413559576
395,3.9958247843450656
396,4.074870668943967
397,4.182221150189416
